               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11355,            0.048233,            0.074422,           0.0026163,              0.1324,            0.004516,           0.0014798,             0.10995,            0.029458,            0.069363,              0.0793,              0.0023,              0.0023
                   1,            0.091687,            0.055927,            0.069543,           0.0075869,             0.60268,             0.03617,             0.01111,             0.09274,             0.02906,            0.067046,            0.057607,           0.0046069,           0.0046069
                   2,            0.076499,            0.054844,            0.060636,             0.30783,            0.092465,            0.036825,            0.013759,            0.085094,            0.036135,             0.06409,            0.035819,           0.0068188,           0.0068188
                   3,             0.07241,            0.047048,            0.055923,              0.3073,              0.1105,            0.044487,            0.015475,             0.08853,            0.026968,             0.06299,            0.013936,           0.0089357,           0.0089357
                   4,             0.07234,            0.047838,            0.051811,             0.43664,             0.13193,            0.073679,            0.029376,            0.081672,            0.024479,            0.060156,            0.009208,            0.009208,            0.009208
                   5,            0.068677,             0.04915,            0.048118,             0.42715,             0.19535,            0.081562,            0.032884,            0.083964,            0.023579,            0.059031,            0.009208,            0.009208,            0.009208
                   6,            0.068596,            0.049148,            0.047764,             0.38444,             0.17489,             0.14731,            0.046145,            0.076741,             0.02561,             0.05651,             0.00901,             0.00901,             0.00901
                   7,            0.061679,             0.04636,            0.047649,             0.37158,             0.16802,             0.14646,            0.068932,            0.073977,            0.024526,            0.054654,            0.008812,            0.008812,            0.008812
                   8,            0.061084,            0.048346,            0.042761,             0.39281,             0.12392,             0.13605,            0.063831,            0.075341,             0.02452,            0.054714,            0.008614,            0.008614,            0.008614
                   9,            0.057109,            0.044395,            0.043001,             0.34773,             0.20614,             0.12138,            0.051963,            0.075313,            0.023375,            0.054778,            0.008416,            0.008416,            0.008416
                  10,            0.058933,            0.046079,            0.040412,             0.40044,             0.33717,             0.16987,            0.088851,            0.067164,            0.024063,            0.058476,            0.008218,            0.008218,            0.008218
                  11,            0.056454,            0.046468,            0.038476,             0.43088,              0.2821,             0.13176,            0.070142,             0.06673,            0.023841,            0.055022,             0.00802,             0.00802,             0.00802
                  12,            0.054164,            0.045115,            0.039314,             0.52538,             0.20706,             0.19464,             0.11726,            0.066266,             0.02569,            0.054052,            0.007822,            0.007822,            0.007822
                  13,            0.049844,            0.040832,            0.038381,             0.42775,             0.28683,             0.19696,             0.10902,            0.067965,            0.025518,            0.052521,            0.007624,            0.007624,            0.007624
                  14,            0.050048,            0.044213,            0.035927,             0.44233,             0.28922,             0.20879,             0.10466,            0.066117,            0.024836,            0.053634,            0.007426,            0.007426,            0.007426
                  15,            0.050272,            0.041604,            0.037003,             0.42695,             0.36789,             0.19694,             0.10277,            0.062632,             0.02446,            0.052706,            0.007228,            0.007228,            0.007228
                  16,             0.04818,            0.041642,            0.034531,             0.30362,             0.42878,             0.28161,             0.15142,            0.062722,            0.023612,            0.049188,             0.00703,             0.00703,             0.00703
                  17,            0.047196,            0.041856,             0.03392,             0.40739,             0.50023,              0.3391,             0.18938,             0.06464,            0.024264,            0.051376,            0.006832,            0.006832,            0.006832
                  18,            0.047273,            0.043631,             0.03306,              0.4174,             0.38126,             0.34747,             0.16242,             0.06854,            0.024144,            0.047378,            0.006634,            0.006634,            0.006634
